surname,creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,exited
Bocharova,607,Spain,Female,27,5,100912.19,1,0,0,7631.27,0
Ma,603,Spain,Female,39,5,162390.52,2,1,0,54702.66,0
Ross,480,France,Female,28,6,0.0,2,0,0,48131.92,0
Chiedozie,656,Germany,Male,68,7,153545.11,1,1,1,186574.68,0
Peng,631,Germany,Male,48,1,106396.48,1,1,1,150661.42,1
Thomson,604,Spain,Female,35,7,147285.52,1,1,1,57807.05,0
Yobanna,622,France,Male,32,5,179305.09,1,1,1,149043.78,0
Tao,601,Germany,Female,42,9,133636.16,1,0,1,103315.74,0
Roberts,674,France,Male,46,2,174701.05,1,1,0,90189.72,1
Sochima,531,France,Male,31,3,0.0,1,1,1,42589.33,0
Macdonald,632,France,Male,32,6,111589.33,1,1,1,170382.99,0
Hsia,707,France,Female,46,7,127476.73,2,1,1,146011.55,0
Buckner,723,France,Male,25,3,0.0,2,1,1,134509.47,0
Davidson,795,Germany,Male,38,7,125903.22,2,1,1,127068.92,0
Ball,585,Spain,Male,45,0,0.0,2,0,0,189683.7,0
Kent,627,Germany,Female,30,6,57809.32,1,1,0,188258.49,0
Manfrin,546,France,Female,30,5,0.0,2,0,1,198543.09,0
Wood,571,Germany,Female,66,9,111577.01,1,0,1,189271.9,0
Lombardo,684,Germany,Male,42,1,117691.0,1,1,1,23135.65,1
Oster,636,France,Female,45,7,139859.23,1,1,1,108402.54,0
Walsh,562,France,Male,48,3,92347.96,1,1,1,163116.75,0
Mackay,482,Germany,Female,48,2,69329.47,1,0,0,102640.52,1
Ch'ien,786,France,Female,62,8,0.0,1,1,1,165702.64,0
Pirozzi,747,France,Female,45,1,114959.12,1,1,0,189362.39,1
Yeh,688,Spain,Male,32,6,124179.3,1,1,1,138759.15,0
Venables,699,France,Male,29,3,125689.29,1,1,1,151623.71,0
Boyle,528,France,Female,32,4,85615.66,2,1,0,156192.43,0
Shen,542,France,Female,42,1,0.0,1,1,1,178256.58,1
Ku,773,France,Female,50,4,0.0,2,1,0,129372.94,0
Tai,675,Spain,Male,33,3,0.0,2,1,0,45348.08,0
Nkemakolam,652,France,Male,51,7,0.0,2,0,1,43496.36,0
Marchesi,638,Germany,Male,27,4,135096.05,1,1,1,186523.72,1
Ch'iu,607,Germany,Male,32,9,144272.07,2,1,0,176580.63,0
Chinwendu,594,Germany,Female,23,4,104753.84,2,1,0,56756.52,1
Smith,755,France,Male,42,2,119919.12,1,1,0,156868.21,0
Nnamutaezinwa,555,France,Male,40,10,139930.18,1,1,1,105720.09,0
Kenenna,710,Germany,Male,43,2,140080.32,3,1,1,157908.19,1
Pratt,823,Germany,Female,53,4,124954.94,1,0,1,131259.6,1
Booth,694,France,Male,42,3,156864.2,2,0,0,88890.75,0
Onyemere,584,France,Male,47,5,0.0,2,1,0,89286.29,0
Fowler,740,France,Male,33,1,129574.98,1,1,1,123300.38,0
Ainsworth,511,France,Male,33,7,0.0,2,0,1,158313.87,0
Romani,481,France,Male,44,9,175303.06,1,1,0,65500.53,1
Chiazagomekpere,488,France,Female,36,0,0.0,2,1,0,136675.22,0
Kung,718,France,Male,33,7,102874.28,1,0,0,117841.06,0
Thomas,523,Germany,Male,41,0,119276.31,1,0,0,122284.38,1
Findlay,698,France,Male,38,2,130015.24,1,1,1,41595.3,0
Levy,555,Germany,Female,51,9,138214.5,1,1,0,198715.27,1
Fedorov,750,France,Female,26,1,151510.17,2,1,1,19921.72,0
Hill,779,Germany,Male,33,1,158456.76,1,1,1,197000.92,1
Otitodilinna,529,France,Male,39,6,102025.08,2,1,0,12351.01,0
Burns,618,Spain,Male,33,4,0.0,2,1,1,77550.18,0
Chill,790,Germany,Female,34,2,164011.48,1,1,0,199420.41,0
Beluchi,710,Spain,Female,27,2,135277.96,1,1,0,142200.15,0
Y?,714,Germany,Female,49,4,93059.34,1,1,0,7571.51,1
H?,850,Spain,Female,54,4,120952.74,1,1,0,66963.15,0
Ugonna,679,France,Male,41,8,147726.98,3,1,0,172749.4,1
Uren,794,France,Male,56,9,96951.21,1,1,1,71776.76,0
Martin,746,Germany,Female,33,2,107868.14,2,1,1,146192.4,0
Wilson,470,France,Male,35,1,96473.59,1,0,0,5962.3,0
Calabresi,670,Spain,Male,35,2,124268.64,2,0,1,84321.03,0
Clements,669,France,Male,37,1,125529.55,1,1,1,162260.93,0
Okwukwe,628,France,Female,31,6,175443.75,1,1,0,113167.17,1
Udinese,721,Spain,Male,33,5,0.0,2,0,1,117626.9,0
Lung,597,Germany,Female,43,7,119127.46,2,1,0,55809.92,0
Johnstone,500,Spain,Female,47,8,128486.11,1,1,0,179227.12,0
T'ien,494,France,Female,33,1,137853.0,1,0,1,90273.85,0
Ferguson,676,France,Male,29,4,140720.93,1,1,0,36221.18,0
Forbes,524,Germany,Female,31,10,67238.98,2,1,1,161811.23,0
McElhone,669,France,Male,57,5,0.0,2,1,1,56875.76,0
McIntyre,598,France,Male,28,8,129991.76,2,0,1,46041.08,0
Hughes,577,Spain,Female,33,6,0.0,2,1,0,57975.8,0
Graham,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0
Ma,602,France,Male,31,7,155271.83,1,1,1,179446.31,0
Pearce,656,France,Male,39,10,0.0,2,1,1,98894.64,0
Forbes,725,France,Female,25,9,0.0,2,1,1,168607.74,0
Wu,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0
Martin,584,Germany,Female,31,6,152622.34,1,1,0,99298.8,0
Kaeppel,628,Germany,Female,51,9,155903.82,2,1,1,71159.84,0
Maggard,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0
Conti,716,Germany,Female,30,2,205770.78,2,0,0,65464.66,0
Maslov,765,France,Male,43,9,157960.49,2,0,0,136602.8,0
Trevisano,589,France,Female,39,7,0.0,2,0,0,95985.64,0
Gibson,594,France,Male,57,6,0.0,1,1,0,19376.56,1
Mai,521,France,Male,37,2,0.0,2,1,1,86372.24,0
De Luca,663,Spain,Male,64,6,0.0,2,0,1,15876.52,0
Law,636,France,Female,24,9,0.0,2,0,1,38830.72,0
Hsing,597,Spain,Male,26,5,0.0,2,0,1,95159.13,0
Todd,682,Germany,Female,29,6,101012.77,1,0,0,32589.89,1
Picot,691,France,Female,33,6,0.0,2,1,0,164074.89,0
Ugoji,680,Germany,Male,34,6,146422.22,1,1,0,67142.97,1
Bromley,492,France,Female,48,6,127253.98,1,1,1,92144.09,1
Ikemefuna,684,Spain,Female,36,5,174180.39,1,1,0,119830.08,0
Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,156731.91,0
Kent,540,Spain,Male,28,8,0.0,2,0,0,197588.32,0
Tang,783,Germany,Female,42,2,139707.28,1,1,0,2150.22,0
Lucciano,411,France,Male,29,0,59697.17,2,1,1,53483.21,0
Wright,526,France,Male,30,9,0.0,2,0,0,100995.68,0
Lorenzen,576,Germany,Male,44,9,119530.52,1,1,0,119056.68,1
Tang,497,France,Male,47,6,0.0,1,1,1,90055.08,0
Browne,744,France,Male,31,9,120718.28,1,1,1,58961.49,0
Stiger,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0
Iloerika,452,France,Female,35,8,0.0,2,1,1,149614.81,0
Cattaneo,485,France,Female,39,2,75339.64,1,1,1,70665.16,0
Cruz,850,France,Female,46,2,157866.77,1,1,1,18986.12,0
Pruneda,649,Spain,Male,36,8,0.0,2,1,0,161668.15,0
Ginn,661,Spain,Female,28,7,95357.49,1,0,0,102297.15,0
Chikezie,725,France,Male,26,6,98684.15,1,0,0,133720.57,0
Zikoranachidimma,624,France,Female,71,4,170252.05,3,1,1,73679.59,1
Tan,668,France,Male,46,0,0.0,2,0,0,29388.02,0
West,706,Spain,Male,28,3,0.0,2,0,1,181543.67,0
Brennan,553,France,Male,33,4,118082.89,1,0,0,94440.45,0
Onyeorulu,571,Germany,Male,25,6,82506.72,2,1,0,167705.07,0
Gambrell,477,Germany,Female,58,8,145984.92,1,1,1,24564.7,0
Edmondstone,696,France,Female,41,8,0.0,2,0,0,28276.83,0
Powell,481,France,Female,39,6,0.0,1,1,1,24677.54,0
Tung,639,France,Male,38,3,0.0,1,1,0,42862.82,0
Lori,810,Germany,Male,35,3,96814.46,2,1,1,120511.03,0
Gibbons,516,France,Female,42,8,56228.25,1,1,0,46857.52,0
Yu,662,Germany,Male,59,2,104568.41,1,1,0,8059.44,1
Milanesi,690,Germany,Male,43,2,166522.78,1,0,0,119644.59,1
Bergamaschi,500,Spain,Male,38,7,0.0,2,0,0,192013.23,0
Pai,656,Spain,Female,40,10,167878.5,1,0,1,151887.16,0
Artyomova,697,France,Male,35,5,133087.76,1,1,0,64771.61,0
Cashin,718,France,Male,37,8,0.0,2,1,1,142.81,0
Nicholls,501,France,Female,41,3,144260.5,1,1,0,172114.67,0
Hopman,844,France,Female,28,4,0.0,2,0,1,123318.37,0
Powell,710,Spain,Female,75,5,0.0,2,1,1,9376.89,0
Waters,748,France,Male,44,4,112610.77,1,0,1,2048.55,0
Kibble,494,France,Male,69,9,93320.8,1,1,1,24489.44,0
Pendred,757,France,Male,47,3,130747.1,1,1,0,143829.54,0
Yashina,497,Germany,Female,32,8,111537.23,4,1,1,9497.99,1
Sal,744,Germany,Male,38,6,73023.17,2,1,0,78770.86,0
Owen,591,France,Male,28,5,0.0,2,1,1,48606.92,0
L?,638,France,Female,48,10,138333.03,1,1,1,47679.14,0
Garcia,581,Spain,Male,46,2,79385.21,2,0,0,188492.82,0
L?,604,France,Male,40,1,84315.02,1,0,0,36209.1,0
Obiuto,571,France,Female,53,2,0.0,2,1,0,28045.77,0
Welch,850,Germany,Male,38,3,54901.01,1,1,1,140075.55,0
Griffiths,596,Spain,Female,54,0,78126.28,1,1,1,153482.91,1
MacDonald,528,France,Male,31,9,120962.59,1,1,0,5419.31,0
Dalrymple,542,France,Male,39,3,135096.77,1,1,1,14353.43,1
Padovano,683,Germany,Female,39,2,47685.47,2,1,1,86019.48,0
Mazzanti,698,France,Male,48,4,101238.24,2,0,1,177815.87,1
Tung,655,France,Female,34,3,0.0,2,1,0,159638.77,0
Collins,729,Germany,Male,30,6,63669.42,1,1,0,145111.37,0
Lloyd,646,France,Male,36,6,124445.52,1,1,0,88481.32,0
Greco,850,France,Male,40,8,102800.65,1,1,0,60811.56,0
Galgano,665,Germany,Female,43,2,116322.27,4,1,0,35640.12,1
Ajuluchukwu,601,Germany,Female,49,4,96252.98,2,1,0,104263.82,0
Soto,694,France,Male,38,1,0.0,2,0,1,156858.2,0
Rowland,732,France,Female,36,9,0.0,1,0,0,3749.0,1
Nkemjika,679,France,Male,30,9,0.0,2,1,0,157871.55,0
Ma,487,Spain,Female,40,6,136093.74,1,0,1,193408.43,0
Alexander,792,Germany,Female,50,4,146710.76,1,1,0,16528.4,1
Fan,472,France,Male,31,4,58662.92,2,0,1,73322.0,0
Fiorentino,706,Germany,Female,46,7,111288.18,1,1,1,149170.25,1
Cattaneo,708,Spain,Female,35,8,122570.69,1,0,0,199005.88,0
St Clair,477,Germany,Female,39,4,182491.57,1,1,0,185830.72,0
Hay,512,France,Male,24,6,0.0,2,1,0,37654.31,0
Mellor,737,Germany,Male,50,4,127552.85,2,1,0,4225.11,0
Hu,572,Germany,Female,54,9,97382.53,1,1,1,195771.95,0
Hamilton,747,Germany,Male,36,8,102603.3,2,1,1,180693.61,0
Reid,691,France,Female,40,0,115465.98,1,1,1,60622.61,0
Valentin,692,France,Male,66,4,159732.02,1,1,1,118188.15,0
Hansen,850,Germany,Male,32,9,141827.33,2,1,1,149458.73,0
Ndukaku,531,Spain,Male,27,8,132576.25,1,0,0,7222.92,0
Heath,487,Germany,Female,61,5,110368.03,1,0,0,11384.45,1
Jideofor,709,France,Male,42,9,118546.71,1,0,1,77142.85,0
Christie,745,France,Female,36,9,0.0,1,1,0,19605.18,1
DeRose,492,France,Male,39,7,0.0,2,0,1,71323.23,0
Palmer,719,France,Female,22,7,114415.84,1,1,1,177497.4,0
Northey,690,France,Female,42,3,92578.14,2,0,0,70810.6,0
Chienezie,558,Germany,Male,32,4,108235.91,1,1,1,143783.28,0
Johnston,651,Germany,Female,34,10,148962.46,1,1,0,66389.43,1
Manfrin,592,Germany,Male,36,10,123187.51,1,0,1,146111.35,0
Kruglova,608,Germany,Male,34,3,106288.54,1,1,1,36639.25,0
Bruno,430,Germany,Male,36,1,138992.48,2,0,0,122373.42,0
Buley,665,France,Female,34,1,96645.54,2,0,0,171413.66,0
Duncan,745,France,Female,46,7,0.0,2,1,1,67769.94,0
Tikhonov,528,Germany,Female,46,9,135555.66,1,1,0,133146.03,1
Rowley,528,France,Male,37,6,103772.45,1,1,0,197111.99,0
T'ien,491,France,Male,33,5,83134.3,1,1,0,187946.55,0
Liu,674,Spain,Male,32,2,0.0,2,1,0,140579.17,0
Miles,674,Germany,Male,43,8,85957.88,2,1,0,8757.39,0
Murphy,745,France,Female,32,2,0.0,4,0,1,179705.13,1
Manfrin,777,France,Female,28,2,134571.5,1,0,1,118313.38,0
Cole,524,France,Female,36,10,0.0,2,1,0,109614.57,0
Kay,657,France,Female,28,7,0.0,2,0,1,5177.62,0
Chiazagomekpere,850,France,Male,49,6,128663.9,1,1,0,65769.3,1
Zotova,676,France,Male,38,1,0.0,2,0,1,35644.79,0
Muir,828,France,Male,31,9,0.0,1,0,1,164257.37,0
Ositadimma,734,Spain,Female,39,6,92126.26,2,0,0,112973.34,0
Sneddon,678,Spain,Male,38,3,124483.53,1,1,0,126253.31,0
Hsiung,651,France,Male,34,4,91562.99,1,1,1,123954.15,0
Bradley,710,France,Male,30,6,0.0,2,1,1,8991.17,0
Sheppard,661,Germany,Female,64,8,128751.65,2,1,0,189398.18,1
Macleod,539,France,Female,47,2,127286.04,2,1,1,166929.43,1
Alexander,646,France,Female,46,8,0.0,2,1,0,133059.15,0
Boyd,518,Germany,Female,41,5,110624.99,1,1,0,89327.67,0
Holden,593,Germany,Female,29,5,101713.84,3,1,0,134594.99,0
Komarova,559,France,Male,33,9,111060.05,2,1,0,110371.84,0
Howell-Price,817,Germany,Female,27,7,129810.6,1,1,1,59259.44,0
Simmons,592,France,Male,36,1,126477.42,1,0,0,179718.17,0
Robinson,632,France,Female,28,5,118890.81,1,0,1,145157.97,0
Artemieva,694,Germany,Male,31,6,109052.59,2,1,1,19448.93,1
Little,700,France,Female,30,9,0.0,1,1,1,174971.64,0
Hung,629,France,Female,33,6,0.0,2,1,1,59129.72,0
Carslaw,427,Germany,Male,42,1,75681.52,1,1,1,57098.0,0
Cooper,801,Spain,Female,46,6,0.0,2,1,1,170008.74,0
Brennan,654,France,Male,29,1,0.0,1,1,0,180345.44,0
L?,596,Germany,Male,40,5,62389.03,3,1,0,148623.43,1
McCulloch,578,France,Female,40,7,0.0,2,0,0,102233.73,0
Atkins,591,Spain,Male,36,7,135216.8,1,1,1,122022.89,0
Monaldo,730,Germany,Female,37,5,124053.03,1,1,0,118591.67,0
Chikelu,811,France,Male,31,7,117799.28,1,1,1,182372.35,0
Ali,749,France,Male,41,5,57568.94,1,1,1,61128.29,0
Sharpe,646,France,Female,46,4,0.0,3,1,0,93251.42,1
Torres,671,Germany,Female,48,9,116711.06,2,0,0,76373.38,0
Nebeolisa,607,Germany,Male,29,7,102609.0,1,1,0,163257.44,0
Reilly,689,Spain,Female,28,5,95328.6,1,1,0,6129.61,1
Fu,661,Spain,Male,38,7,143006.7,1,1,1,15650.89,0
Ch'ang,646,Germany,Female,30,10,100548.67,2,0,0,136983.77,0
Neumann,565,Spain,Male,38,0,122447.76,1,0,0,67339.34,0
Sorokina,774,France,Male,53,4,113709.28,1,1,1,153887.93,1
Trentino,785,France,Female,40,3,0.0,2,1,1,96832.82,0
Otutodilinna,703,France,Female,40,7,0.0,2,0,1,122518.5,0
Fraser,490,France,Male,34,5,122952.9,2,0,0,154360.97,0
Pagnotto,786,Germany,Female,33,0,122325.58,1,0,0,34712.34,1
Fox,665,France,Male,33,2,101286.11,1,1,1,159840.51,0
Wan,592,Spain,Male,45,8,84692.5,1,0,1,67214.02,0
Sergeyeva,637,Germany,Female,39,3,109698.41,1,1,1,88391.29,1
Su,811,France,Male,40,1,101514.89,1,1,1,121765.0,0
White,488,Germany,Female,28,7,139246.22,2,1,0,106799.49,0
Woodard,449,France,Male,52,6,0.0,2,0,1,123622.0,0
Eidson,723,Germany,Female,47,10,90450.0,2,0,0,103379.31,1
Loggia,606,Germany,Female,41,4,132670.53,1,1,0,156476.36,1
Chu,707,France,Male,32,9,0.0,2,0,0,30807.02,0
Niu,573,Germany,Male,30,8,127406.5,1,1,0,192950.6,0
Onyemere,676,France,Male,31,3,78990.15,1,1,1,124777.14,0
Walkom,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0
Maduabuchim,568,Spain,Female,27,1,116320.68,1,0,1,45563.94,0
Bryant,729,Spain,Female,38,10,0.0,2,1,0,189727.12,0
Bergamaschi,554,France,Female,35,10,74988.59,2,0,1,190155.13,0
Perry,539,Germany,Female,34,4,91622.42,1,1,1,136603.42,0
Olisaemeka,850,Germany,Male,36,5,119984.07,1,1,0,191535.11,1
Forbes,689,Germany,Female,40,4,78119.59,4,1,0,119259.34,1
Cooke,615,France,Male,41,4,130385.82,1,0,1,130661.95,0
Hamilton,539,France,Male,39,1,0.0,1,1,1,28184.7,0
Igwebuike,601,Spain,Male,24,7,0.0,2,0,0,144660.42,0
Lazareva,678,Germany,Male,36,3,145747.67,2,0,1,89566.74,0
Jones,850,Germany,Female,36,0,136980.23,2,1,1,99019.65,0
Schiavone,517,Spain,Male,39,3,0.0,2,0,1,12465.51,0
Beatham,793,Germany,Female,34,5,127758.09,1,1,0,143357.03,0
Robson,579,France,Female,33,1,118392.75,1,1,1,157564.75,0
Dipietro,709,France,Male,39,8,0.0,2,1,0,56214.09,0
Hovell,646,Germany,Female,57,6,90212.0,1,1,0,13911.27,1
Okechukwu,587,Germany,Male,35,5,121863.61,1,1,1,23481.69,1
Mazzi,849,France,Female,41,6,0.0,2,1,1,169203.51,1
Ogochukwu,660,France,Male,37,2,97324.91,1,1,0,23291.83,0
Mosley,627,Germany,Female,39,5,124586.93,1,1,0,93132.61,1
Chiemela,547,France,Female,51,1,0.0,2,1,1,56908.41,0
Szabados,554,France,Male,39,2,129709.62,1,1,0,173197.12,0
Chijindum,678,France,Male,54,7,128914.97,1,0,0,191746.23,1
Pisani,605,Germany,Male,28,10,113690.83,1,1,0,33114.24,0
Christie,757,France,Female,44,4,123322.15,1,1,0,137136.29,0
Kelley,625,France,Male,34,6,0.0,2,0,0,197283.2,0
Yuan,841,Germany,Female,33,7,154969.79,2,1,1,99505.75,0
Matthews,557,Spain,Female,40,4,0.0,2,0,1,105433.53,0
Mackey,520,France,Male,33,4,156297.58,2,1,1,166102.61,0
Robinson,688,France,Male,20,8,137624.4,2,1,1,197582.79,0
Atherton,833,Germany,Male,29,1,96462.25,2,0,1,48986.18,0
Chioke,730,Germany,Male,38,0,38848.19,2,0,0,94003.11,0
Coates,704,France,Male,23,6,166594.78,1,1,1,155823.2,0
Ibezimako,643,Spain,Male,34,6,0.0,2,1,1,116046.22,0
Jackson,540,France,Male,48,2,109349.29,1,1,0,88703.04,1
Hou,626,France,Male,44,10,0.0,2,0,0,164287.86,0
Nikitina,640,Germany,Female,30,5,32197.64,1,0,1,141446.01,0
Cribb,705,France,Female,35,3,0.0,2,0,1,66331.01,0
Chiawuotu,584,Germany,Female,62,9,137727.34,2,0,1,121102.9,0
Shah,577,France,Male,41,6,0.0,1,1,1,167621.18,0
Goliwe,566,Germany,Female,40,2,97001.36,2,1,0,154486.01,0
Gordon,646,Germany,Female,35,1,121952.75,2,1,1,142839.82,0
Pai,661,France,Female,34,0,0.0,2,1,0,185555.63,0
Shih,658,France,Male,42,8,102870.93,1,0,1,103764.55,1
Grant,521,Spain,Female,22,10,0.0,1,1,1,101311.95,0
Woolacott,616,France,Female,31,8,0.0,1,0,1,76456.17,0
Maclean,838,Spain,Female,67,4,103267.8,1,1,1,78310.04,0
Whitehead,709,Spain,Female,45,2,0.0,2,0,1,162922.65,0
Ibbott,823,France,Male,38,1,0.0,2,1,0,156603.7,0
Palerma,727,Spain,Female,41,10,0.0,2,0,1,47468.56,0
Gray,682,Spain,Female,50,10,128039.01,1,1,1,102260.16,0
Wallace,527,Germany,Female,41,10,136733.24,1,1,1,57589.29,0
Christie,605,France,Male,39,6,111169.91,1,0,0,9641.4,0
Chapman,649,Spain,Female,38,8,0.0,1,1,0,103760.53,0
Calabrese,679,France,Male,36,6,147733.64,1,0,1,172501.38,0
Beneventi,582,Germany,Male,26,6,114450.32,1,1,1,14081.64,0
Wilson,530,Spain,Female,36,7,0.0,2,1,0,80619.09,0
Walker,775,Germany,Male,33,3,83501.66,2,1,0,128841.31,0
Mackenzie,603,Spain,Female,56,5,90778.76,2,1,0,162223.67,1
Findlay,495,France,Female,40,1,140197.71,2,1,0,150720.39,0
Hyde,668,France,Female,37,7,128645.67,1,1,0,92149.64,0
Ball,737,Germany,Female,45,2,99169.67,2,1,1,78650.95,0
Ko,659,France,Male,35,6,0.0,2,1,1,58879.11,0
Neumann,530,France,Female,48,0,0.0,1,1,0,85081.09,0
Chien,634,France,Male,45,9,0.0,2,0,0,17622.82,0
Walker,486,France,Male,63,9,97009.15,1,1,1,85101.0,0
Remington,836,France,Female,29,9,133681.78,1,1,1,153747.73,0
Chiekwugo,510,France,Male,63,8,0.0,2,1,1,115291.86,0
Jackson,809,France,Female,24,4,0.0,2,1,0,193518.76,0
Enemuo,596,France,Male,33,2,139451.67,1,0,0,63142.12,0
Combs,717,France,Male,48,7,123764.95,1,1,1,169952.82,0
Loggia,737,Spain,Female,39,7,130051.66,2,0,0,55356.39,1
Lawrence,543,Spain,Male,37,3,0.0,2,1,1,78915.68,0
Ball,761,Germany,Male,36,8,108239.11,2,0,0,99444.02,0
Marino,545,France,Male,23,2,0.0,2,1,0,189613.12,0
Kaodilinakachukwu,608,Germany,Female,38,8,103653.51,2,1,1,137079.86,0
Ch'eng,537,Spain,Female,33,7,136082.0,1,1,0,62746.54,0
Rearick,513,Spain,Male,88,10,0.0,2,1,1,52952.24,0
Phelan,664,France,Female,31,7,104158.84,1,1,0,134169.85,0
Chu,499,Germany,Female,55,4,126817.65,2,1,0,123269.71,0
Mills,703,France,Male,50,8,160139.59,2,1,1,79314.1,0
Webb,706,Spain,Female,29,1,209490.21,1,1,1,133267.69,1
Porter,598,Spain,Female,23,6,0.0,2,1,0,153229.19,0
Onio,743,France,Female,39,8,0.0,1,1,0,94263.44,0
Marcelo,722,Germany,Female,32,5,106807.64,1,1,1,76998.69,0
Thomson,646,France,Male,50,0,104129.24,2,1,0,181794.86,1
Ifeanacho,599,Spain,Male,25,3,0.0,2,1,1,120790.02,0
Galkin,704,France,Male,32,7,127785.17,4,0,0,184464.7,1
Giles,675,France,Male,54,6,0.0,1,1,0,110273.84,1
Craig,590,Spain,Male,22,7,125265.61,1,1,1,161253.08,0
Han,644,Spain,Male,28,0,0.0,2,1,0,119419.37,0
Yao,850,Spain,Male,38,7,115378.94,1,0,1,162087.82,0
Dellucci,668,France,Female,31,9,0.0,2,0,0,41291.73,0
